ID;PE1;PE2;PE3;PE4;EE1;EE2;EE3;SI1;SI2;SI3;SI4;FC1;FC2;FC3;HM1;HM2;HM3;HA1;HA2;HA3;HA4;HA5;IU1;IU2;U1;U2;U3;U4;TRI1;TRI2;TRI3;TRI4;TRI5;TRI6;TRI7;TRI8;TRI9;TRI10;TRI11;TRI12;TRI13;TRI14;TRI15;TRI16;EXP;EDU;SOC;WSTATUS;RETIRED;GENDER;BORN;GENERATION;REGION
1;5;4;5;4;3;2;3;5;4;5;4;3;1;5;4;4;4;3;3;2;2;2;4;4;4;3;1;1;4;4;4;4;2;4;2;1;4;5;5;5;4;3;4;5;4;3;3;N;Y;Female;1943;Silent generation ;Biobío
2;5;5;5;5;3;3;3;4;4;4;4;3;3;4;5;5;5;4;5;5;4;4;5;5;5;5;4;4;4;3;4;4;4;2;2;2;4;3;4;4;2;4;5;3;10;3;2;N;Y;Male;1952;Early Baby boomer ;Biobío
3;5;5;5;4;4;4;2;5;5;5;5;4;2;5;5;5;5;5;5;5;5;3;5;5;5;5;4;4;4;3;2;2;4;1;1;2;4;4;4;4;2;2;4;2;10;3;2;Y;N;Female;1954;Early Baby boomer ;Biobío
4;2;2;4;3;2;1;1;3;3;3;3;2;1;2;3;4;3;2;1;1;1;1;3;2;4;3;1;1;4;3;3;3;2;2;1;3;4;4;4;4;4;4;4;5;5;3;3;N;Y;Female;1935;Silent generation ;Biobío
5;3;4;3;3;2;1;1;4;4;4;1;2;1;3;3;4;4;2;2;2;2;2;3;3;3;2;1;1;3;3;3;4;2;1;1;1;5;4;5;4;4;4;4;5;6;3;2;N;Y;Female;1935;Silent generation ;Biobío
6;5;5;5;4;5;5;5;4;3;5;4;4;5;5;5;5;5;5;5;5;4;5;5;3;5;5;5;2;5;4;4;4;4;2;2;3;2;2;2;2;2;3;4;2;17;4;3;Y;N;Male;1960;Late Baby boomer ;Coquimbo
7;5;5;5;1;3;5;5;5;4;4;5;5;5;5;5;5;5;5;4;5;5;5;5;3;5;4;5;1;5;5;3;3;1;1;4;3;3;3;5;5;5;5;5;5;7;2;3;Y;Y;Female;1949;Early Baby boomer ;Biobío
8;4;5;5;1;4;4;5;5;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;5;1;5;5;4;3;1;1;4;3;3;3;5;5;5;5;5;5;5;3;3;N;Y;Male;1948;Early Baby boomer ;Biobío
9;4;4;5;5;4;5;5;5;4;4;4;5;3;5;5;5;5;5;5;5;5;4;5;5;5;5;5;1;5;5;5;4;3;2;3;2;2;3;3;2;5;5;5;5;2;3;2;N;Y;Female;1957;Early Baby boomer ;Coquimbo
10;3;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;1;5;5;5;3;4;1;3;3;2;3;2;3;5;5;5;5;12;4;3;N;Y;Female;1954;Early Baby boomer ;Biobío
